OrigOrder,PriorityOrder,Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq,Runway,RwyHdg,TDZE,VasiGS,VasiBoxLat,VasiBoxLong,NwLat,NwLong,NeLat,NeLong,SwLat,SwLong,SeLat,SeLong,CenterLat,CenterLong
10551,2,D37,WARREN MUNI,WARREN,MN,48.186667,-96.716667,880,122.8,22,228,888,NA,NA,NA,48.189324,-96.71635,48.19409,-96.708467,48.188955,-96.715742,48.193693,-96.707894,48.1915155,-96.71211325
10551,2,D37,WARREN MUNI,WARREN,MN,48.186667,-96.716667,880,122.8,4,48,888,NA,NA,NA,48.189324,-96.71635,48.19409,-96.708467,48.188955,-96.715742,48.193693,-96.707894,48.1915155,-96.71211325
15418,3,TVF,THIEF RIVER FALLS REGIONAL,THIEF RIVER FALLS,MN,48.065667,-96.185,1119,122.8,13,135,1115,3,48.069535,-96.191225,48.070813,-96.193591,48.071106,-96.193146,48.058252,-96.174702,48.05855,-96.174279,48.06468025,-96.1839295
15418,3,TVF,THIEF RIVER FALLS REGIONAL,THIEF RIVER FALLS,MN,48.065667,-96.185,1119,122.8,31,315,1114,3,48.060423,-96.177544,48.070813,-96.193591,48.071106,-96.193146,48.058252,-96.174702,48.05855,-96.174279,48.06468025,-96.1839295
15418,3,TVF,THIEF RIVER FALLS REGIONAL,THIEF RIVER FALLS,MN,48.065667,-96.185,1119,122.8,4,39,1119,3,48.063099,-96.191133,48.061744,-96.192962,48.072356,-96.180062,48.061616,-96.192733,48.072234,-96.17983,48.0669875,-96.18639675
15418,3,TVF,THIEF RIVER FALLS REGIONAL,THIEF RIVER FALLS,MN,48.065667,-96.185,1119,122.8,22,219,1119,3,48.070858,-96.181681,48.061744,-96.192962,48.072356,-96.180062,48.061616,-96.192733,48.072234,-96.17983,48.0669875,-96.18639675
10095,4,CKN,CROOKSTON MUNI KIRKWOOD FLD,CROOKSTON,MN,47.841667,-96.621667,899,122.7,13,135,896,3,47.843206,-96.626753,47.844274,-96.628548,47.844408,-96.62835,47.835951,-96.616173,47.836094,-96.615957,47.84018175,-96.622257
10095,4,CKN,CROOKSTON MUNI KIRKWOOD FLD,CROOKSTON,MN,47.841667,-96.621667,899,122.7,31,315,897,3,47.837501,-96.618255,47.844274,-96.628548,47.844408,-96.62835,47.835951,-96.616173,47.836094,-96.615957,47.84018175,-96.622257
10095,4,CKN,CROOKSTON MUNI KIRKWOOD FLD,CROOKSTON,MN,47.841667,-96.621667,899,122.7,17,180,900,NA,NA,NA,47.845841,-96.622537,47.845844,-96.621754,47.837704,-96.622539,47.837694,-96.621714,47.84177075,-96.622136
10095,4,CKN,CROOKSTON MUNI KIRKWOOD FLD,CROOKSTON,MN,47.841667,-96.621667,899,122.7,35,360,900,NA,NA,NA,47.845841,-96.622537,47.845844,-96.621754,47.837704,-96.622539,47.837694,-96.621714,47.84177075,-96.622136
10095,4,CKN,CROOKSTON MUNI KIRKWOOD FLD,CROOKSTON,MN,47.841667,-96.621667,899,122.7,6,67,900,NA,NA,NA,47.843637,-96.62291,47.845872,-96.615067,47.84314,-96.6226,47.845382,-96.61476,47.84450775,-96.61883425
10095,4,CKN,CROOKSTON MUNI KIRKWOOD FLD,CROOKSTON,MN,47.841667,-96.621667,899,122.7,24,247,900,NA,NA,NA,47.843637,-96.62291,47.845872,-96.615067,47.84314,-96.6226,47.845382,-96.61476,47.84450775,-96.61883425
10589,5,D81,RED LAKE FALLS MUNI,RED LAKE FALLS,MN,47.825,-96.258333,1061,122.9,33,336.23,1061,NA,NA,NA,47.829623,-96.261932,47.829684,-96.261721,47.823332,-96.257823,47.823398,-96.257613,47.82650925,-96.25977225
10589,5,D81,RED LAKE FALLS MUNI,RED LAKE FALLS,MN,47.825,-96.258333,1061,122.9,15,156.23,1061,NA,NA,NA,47.829623,-96.261932,47.829684,-96.261721,47.823332,-96.257823,47.823398,-96.257613,47.82650925,-96.25977225
